ID,nhs_number,first_name,last_name,DOB,gender,postcode,ethnicity,risk_level
65,2949848415,Rhys,Walker,11/03/1939,Female,CB2 0QQ,White British,High
66,6751298667,Jayne,Bennett,18/03/1934,Female,E10 7HQ,White British,High
67,9483252346,Leanne,Coleman,05/12/1961,Male,E18 1AB,Black African,Medium
68,4736437234,Holly,Jackson,08/01/2023,Male,SE1 6JP,White British,Low
69,5248674115,Roger,Marsden,27/09/2002,Male,E13 8SL,White British,Medium
70,6841429485,Malcolm,Richards,24/12/1963,Male,CB2 0QQ,White British,Medium
71,9396191876,Marilyn,Moore,09/11/1945,Male,SE1 6JP,White British,High
72,7223653296,Rachael,Mistry,15/06/1996,Male,E5 0BP,Black Caribbean,Medium
73,4173763173,Marilyn,Griffiths,27/07/1987,Female,SE1 6JP,White British,Low
74,6244535186,Jeremy,Dunn,14/02/1966,Male,B15 2TH,Black African,Medium
75,7611518149,Guy,Savage,30/05/1951,Female,CB2 1PH,Mixed,High
76,4983912212,Leonard,Day,03/09/1944,Male,N4 2JJ,White British,High
77,1557191924,Benjamin,Webb,19/10/1994,Male,CB2 1PH,White British,Medium
78,7212622175,Sara,Davies,24/07/1957,Male,E1 5AW,Black African,Medium
79,2279188827,Rhys,Jackson,29/05/1968,Male,E1 4DG,White British,Medium
80,9347383441,Leah,Bates,21/05/1972,Female,CB2 1PH,White British,Medium
81,9571861811,Christian,Jones,20/07/1934,Male,B15 2TH,White British,High
82,5636481359,Abdul,Hope,26/02/2003,Female,E17 7JN,White British,Low
83,7548448112,Ashleigh,Williams,10/11/1967,Female,E1 4DG,South Asian,Medium
84,1174357875,Charlie,Matthews,10/06/2006,Male,N1 1AA,White British,Medium
85,8138628743,Lucy,Taylor,29/12/1983,Male,CB1 3DF,White British,Medium
86,7626967572,Marilyn,Campbell,28/08/1986,Male,E17 7JN,Black African,Low
87,5826782586,Rhys,Walsh,17/07/1946,Female,SE1 6JP,White British,High
88,1218684122,Patricia,Chapman,01/08/1953,Female,CB2 1PH,White British,High
89,1669421122,Antony,Evans,29/03/1953,Female,N4 2JJ,White British,High
90,6114551782,Joyce,Brown,05/11/1992,Female,SE1 6JP,White British,Medium
91,9786648728,Albert,Davies,12/08/2005,Other,E5 0BP,South Asian,Medium
92,1828133334,Francis,Mitchell,07/01/1982,Male,E1 4DG,South Asian,Medium
93,6147128171,Samantha,Slater,21/09/2015,Male,N4 2JJ,White British,Low
94,6756487313,Ian,Stevens,09/02/1942,Male,CB4 2NF,Black Caribbean,High
95,5956897954,Gillian,Duffy,09/09/1940,Female,E18 1AB,Black Caribbean,High
96,3297159722,Lorraine,Nelson,21/08/1934,Female,E18 1AB,White British,High
97,5817763252,Sharon,Ross,17/03/2002,Female,NR4 7UY,Black African,Low
98,8169968736,Denise,Cook,01/02/1966,Male,E1 5AW,White British,High
99,7786274644,Conor,King,09/07/1970,Female,N1 1AA,White British,Medium
100,6433846631,Charles,Wilson,04/11/1964,Female,CB2 0QQ,White British,Medium
101,4164476618,Raymond,Mason,01/08/1996,Male,SE1 6JP,Black Caribbean,Medium
102,9871341863,Sharon,Townsend,19/08/2000,Male,E10 7HQ,White British,High
103,1655336643,Aaron,Jarvis,25/07/1935,Female,N1 1AA,White British,High
104,8122226688,Declan,Brookes,12/03/1980,Male,NR4 7UY,Black African,High
105,6537713926,Howard,Hughes,23/09/1960,Female,NR4 7UY,South Asian,Medium
106,6143223729,Linda,Lee,09/03/1946,Female,E5 0BP,White British,High
107,5125246521,Tracy,Curtis,09/10/2005,Female,N4 2JJ,Black African,Medium
108,2152319884,Jayne,Rose,17/03/2012,Male,CB4 2NF,White British,Medium
109,2614352255,Ian,Welch,27/08/1968,Female,N4 2JJ,White British,High
110,5291642592,Trevor,Evans,11/03/1997,Female,E10 7HQ,White British,Medium
111,2985391718,Heather,Nolan,10/10/1973,Male,E1 5AW,White British,Medium
112,7467193519,Leanne,Cole,15/06/1996,Male,NR4 7UY,White British,Medium
113,3788998392,Alexander,Knowles,05/05/1970,Male,CB1 3DF,White British,Medium
114,5149247697,Richard,Barker,16/08/1991,Male,CB2 1PH,Black Caribbean,Medium
115,1127568349,Abdul,Wilson,18/02/1972,Male,E18 1AB,Black African,Medium
116,4717324193,Elliott,Dunn,09/06/2018,Female,N4 2JJ,South Asian,High
117,7352865264,Kirsty,Khan,10/01/1936,Female,E10 7HQ,White British,High
118,4874499651,Shirley,Jackson,16/12/1953,Female,B15 2TH,Mixed,High
119,2827953227,Sharon,Webb,11/12/1992,Male,B15 2TH,White British,Low
120,2347546626,June,Cole,14/05/1961,Female,E18 1AB,White British,Medium
121,4683371645,Vincent,Williams,15/03/1974,Female,E18 1AB,East Asian,Medium
122,1854511984,Sam,Miller,09/01/1941,Male,N1 1AA,White British,High
123,1233113723,David,Lewis,11/05/1960,Female,CB1 3DF,White British,Medium
124,5195669292,Joe,Patel,28/03/1934,Female,NR4 7UY,White British,High
125,5278279962,Marion,Rowley,04/05/1945,Female,CB4 2NF,Black Caribbean,High
126,3998881243,Marion,Pearson,05/08/1974,Male,N1 1AA,Black African,Medium
127,9118237136,Leah,Bennett,20/04/1999,Female,CB2 1PH,Black African,Low
128,1983339243,Lynn,Bell,28/01/1989,Female,CB1 3DF,White British,Low
129,1188575279,Iain,Sutton,31/07/1943,Male,E1 5AW,White British,High
130,8249637259,Martyn,Wright,18/02/1960,Male,E1 4DG,White British,Medium
131,1491822294,Barbara,Todd,29/05/1936,Male,CB1 3DF,Black African,High
132,1943557356,Carol,Matthews,17/07/1975,Female,N1 1AA,White British,Medium
133,1227391774,Lawrence,Stephens,07/02/1978,Female,CB2 1PH,White British,Medium
134,2172385452,Zoe,Wilson,21/09/1995,Female,E10 7HQ,Black African,Low
135,1617385275,Sarah,Wilson,27/12/2020,Female,NR4 7UY,White British,High
136,4988356287,Jade,Allen,10/07/1994,Male,E1 4DG,White British,Low
137,2347723136,Mitchell,Hunt,11/02/1999,Male,N4 2JJ,East Asian,Low
138,6542815424,Lydia,Bennett,17/07/1938,Female,CB2 0QQ,White British,High
139,8198715826,Jade,Berry,07/10/1974,Male,E13 8SL,Black African,Medium
140,4932281538,Alexander,Smith,16/06/2001,Female,E10 7HQ,White British,Low
141,4167227653,Naomi,Kelly,24/12/1995,Male,SE1 6JP,White British,High
142,5979527472,Amy,Weston,18/04/1952,Female,N1 1AA,Black African,High
143,8985945239,Hilary,Saunders,13/09/1960,Female,CB2 0QQ,Mixed,Medium
144,9319435873,Charlene,Powell,11/10/1944,Female,E13 8SL,White British,High
145,1262694631,Aaron,Miller,09/02/1976,Female,E10 7HQ,White British,High
146,1871316459,Leanne,Quinn,04/10/1998,Female,E5 0BP,White British,Low
147,6284481723,Tina,White,14/05/1943,Female,E5 0BP,Mixed,High
148,3937278837,Louis,Miah,23/11/1988,Female,E17 7JN,White British,Medium
149,1136496671,Janet,Hicks,18/02/1970,Male,E1 4DG,Mixed,Medium
150,2587988413,Jeffrey,Robson,10/03/1961,Male,CB2 1PH,Black African,Medium
151,5957499171,Catherine,Mann,30/10/1988,Male,E18 1AB,White British,Low
152,5195793879,Robert,Anderson,05/10/1942,Female,N4 2JJ,White British,High
153,6129921156,Nicola,Booth,30/10/1974,Female,E1 5AW,White British,Medium
154,2217728534,Aaron,Spencer,22/05/1982,Female,CB4 2NF,South Asian,Medium
155,8969787225,Molly,Turnbull,09/11/1981,Female,SE1 6JP,White British,Medium
156,8689332572,Keith,Reed,27/05/1994,Female,E17 7JN,White British,Low
157,5337418299,Conor,Rhodes,15/07/1957,Female,CB1 3DF,White British,Medium
158,7655242819,Ruth,Russell,09/05/1989,Male,CB2 0QQ,Black African,Low
159,7258687859,Vanessa,Baker,28/02/1985,Male,E18 1AB,White British,Medium
160,3374844192,Roy,Howarth,10/06/1989,Female,CB2 1PH,White British,Low
161,8177848992,Tracy,Thompson,11/05/1948,Male,E1 4DG,White British,High
162,3829527462,Megan,Mason,10/10/1987,Male,CB2 0QQ,Black African,Low
163,8226277748,Brian,Hall,20/03/1955,Female,E17 7JN,White British,High
164,9672837379,Oliver,Wright,22/09/1999,Female,E5 0BP,White British,Low
165,7261483936,Callum,Banks,06/11/1993,Male,CB2 1PH,White British,Low
166,6113186518,Joan,Holden,17/06/1958,Female,CB4 2NF,South Asian,Medium
167,8774539498,Nigel,Wilson,31/03/1994,Male,SE1 6JP,White British,Medium
168,3824574392,Fiona,Henry,07/06/1984,Female,E1 5AW,Black African,Medium
169,3255681672,Bryan,Brooks,08/10/1975,Female,CB2 1PH,White British,Medium
170,3595438726,Ashley,Warren,25/12/1958,Female,CB1 3DF,Black African,Medium
171,2441595838,Emma,Holmes,17/08/1986,Male,E1 4DG,White British,High
172,8686214427,Callum,Cook,29/06/1949,Female,E17 7JN,White British,High
173,5979465832,Hugh,Yates,12/02/1994,Female,N4 2JJ,South Asian,Medium
174,8398151247,Brett,Kaur,02/02/1975,Male,CB1 3DF,White British,Medium
175,9976156231,Damian,Brown,13/01/1941,Female,E10 7HQ,White British,High
176,4633685448,Ricky,Palmer,18/10/1966,Female,E18 1AB,Black Caribbean,Medium
177,6146136887,Shirley,Phillips,27/09/1990,Female,B15 2TH,White British,Low
178,6389244884,Kathleen,Roberts,10/11/1947,Female,NR4 7UY,South Asian,High
179,4448463287,Douglas,Lloyd,21/04/1991,Male,E17 7JN,White British,Low
180,4288369175,Lorraine,Clarke,22/08/1967,Female,CB1 3DF,White British,Medium
181,7537667367,Anne,Cox,29/09/2009,Female,E13 8SL,White British,High
182,8983413942,Karl,Harvey,24/04/1985,Female,E5 0BP,South Asian,Medium
183,6169532462,Callum,Davies,08/11/1974,Male,CB1 3DF,Black African,Medium
184,7447282839,Dale,Smith,20/07/2019,Female,CB1 3DF,White British,Low
185,5433735252,Kim,Richards,06/11/1988,Female,SE1 6JP,South Asian,Medium
186,8341144114,Jamie,Robinson,29/04/2002,Female,CB1 3DF,White British,Medium
187,3139146464,Melanie,Burton,10/11/2010,Female,E13 8SL,White British,Low
188,2495767977,Alice,Bryan,17/06/1967,Female,E5 0BP,White British,Medium
189,2816928931,Rebecca,Hall,25/11/1975,Male,CB2 0QQ,White British,Medium
190,4941363652,Iain,Jones,02/04/1945,Female,B15 2TH,White British,High
191,6494691962,Sian,Jackson,09/10/1977,Female,CB2 0QQ,White British,High
192,6162196772,Lynn,Willis,11/09/1935,Male,E13 8SL,Black African,High
193,5632464237,Gail,Walker,08/07/2009,Female,CB2 1PH,White British,Low
194,3979552239,Christian,Cooper,11/09/1974,Male,E18 1AB,White British,Medium
195,5938998167,Olivia,Todd,26/07/1988,Male,CB4 2NF,White British,Medium
196,2371588363,Stephanie,Jones,23/07/1961,Female,E5 0BP,White British,Medium
197,1344226749,Charles,Collins,08/01/1948,Male,B15 2TH,White British,High
198,9144129586,Lynn,Phillips,15/02/1979,Female,CB2 1PH,East Asian,Medium
199,2173422573,Justin,Williams,24/05/1935,Female,NR4 7UY,Black African,High
200,7926216192,Toby,Johnson,04/05/2021,Male,E1 5AW,White British,Medium
201,5397556925,Patrick,Newman,08/08/1952,Male,N1 1AA,White British,High
202,9765249954,Mary,Parker,26/07/1935,Male,E18 1AB,White British,High
203,9455843424,Sylvia,Morris,24/02/2002,Male,N4 2JJ,Black Caribbean,Medium
204,1342336451,Lindsey,Shaw,18/04/1991,Male,B15 2TH,White British,Low
205,7788573965,Vanessa,Jones,17/09/1947,Female,SE1 6JP,White British,High
206,1753471299,Rhys,Hill,02/01/1942,Male,NR4 7UY,White British,High
207,6419956296,Frances,Morris,17/11/1990,Female,CB1 3DF,Mixed,Low
208,3398331694,Donald,Davies,14/12/1973,Female,CB4 2NF,South Asian,Medium
209,5561159488,Cheryl,Sinclair,20/08/1954,Female,B15 2TH,Black Caribbean,High
210,1366649437,Sally,Thomson,07/04/2013,Other,E13 8SL,White British,Medium
211,8812489542,Holly,Harris,16/10/1952,Female,B15 2TH,White British,High
212,4248393316,William,Davies,15/04/1982,Female,E1 4DG,White British,Medium
213,2428676911,Ellie,Wood,25/06/1980,Female,E13 8SL,White British,High
214,4659512692,Elaine,Edwards,02/05/2012,Male,CB4 2NF,White British,Low
215,1991883999,Dylan,Brooks,30/05/1993,Female,B15 2TH,White British,Medium
216,1265287419,Terry,Smith,05/06/1952,Female,E10 7HQ,White British,High
217,2716773832,Simon,Davidson,28/10/1989,Male,E5 0BP,White British,Medium
218,2123973566,Paula,James,26/08/2005,Male,NR4 7UY,White British,Low
219,6267436635,Elliot,Ward,19/07/1973,Female,E13 8SL,White British,Medium
220,4434912958,Derek,Manning,14/06/1987,Male,CB4 2NF,White British,Medium
221,3385246697,Stephen,Houghton,01/10/2006,Female,E1 4DG,White British,Medium
222,5259298149,Guy,Chapman,14/09/1967,Female,E10 7HQ,White British,Medium
223,3822815383,Glen,Gough,01/06/2022,Male,E13 8SL,South Asian,Low
224,3662971366,Melanie,Parker,21/09/1993,Female,E1 5AW,White British,Low
225,1321349541,Sam,Spencer,06/12/1975,Female,N1 1AA,White British,Medium
226,6236237537,Pamela,Dawson,22/08/1967,Female,E1 5AW,South Asian,High
227,5941338531,Lisa,Collier,18/07/1942,Male,N4 2JJ,White British,High
228,6139953694,Marc,Davies,14/11/1968,Female,CB4 2NF,South Asian,Medium
229,1297865589,Aaron,Evans,23/06/2018,Female,NR4 7UY,White British,Low
230,8795131973,Alison,Evans,29/03/2012,Female,CB2 0QQ,White British,Low
231,6786444377,Elizabeth,Howe,29/05/1943,Female,N1 1AA,White British,High
232,4522117622,Harry,Ward,10/06/1962,Male,E1 4DG,East Asian,Medium
233,7258367783,Kathryn,Power,08/05/1983,Female,E13 8SL,South Asian,Medium
234,4845445756,Thomas,Newman,05/05/2000,Female,NR4 7UY,Black African,Low
235,5829368658,Marilyn,Norton,24/01/2006,Female,E1 5AW,White British,Low
236,5619342258,Maria,Ali,05/04/2023,Male,N1 1AA,Black African,Low
237,4558717669,Teresa,Russell,02/02/1961,Female,CB2 1PH,White British,Medium
238,7938948782,Reece,Clarke,26/02/2006,Male,CB2 1PH,White British,Medium
239,3897427866,Connor,Buckley,01/04/1976,Male,CB4 2NF,White British,Medium
240,3451578516,Josephine,Hudson,26/04/1995,Female,CB2 0QQ,White British,Low
241,8143982462,Michelle,Hughes,19/10/1946,Male,E10 7HQ,White British,High
242,8186948171,Hannah,Hughes,20/11/1977,Male,E1 4DG,Black African,Medium
243,4469193419,Ross,Bennett,27/01/1976,Female,B15 2TH,White British,Medium
244,1572731853,Amelia,Morgan,18/02/1953,Female,CB2 0QQ,South Asian,High
245,9893964721,Katy,Hart,17/03/1936,Female,B15 2TH,Black African,High
246,3234379229,Keith,Andrews,29/10/1994,Male,B15 2TH,White British,Low
247,1726954842,Connor,Charlton,17/03/1937,Male,E1 4DG,South Asian,High
248,8227873828,Paula,Baker,15/10/1972,Male,E5 0BP,Black African,Medium
249,4629995456,Brian,Mills,16/12/1970,Female,B15 2TH,White British,Medium
250,5485424986,Pamela,John,12/12/1959,Male,SE1 6JP,Black African,Medium
251,1651311443,Alice,Taylor,16/07/1979,Male,E18 1AB,White British,Medium
252,5472377448,Henry,Graham,15/06/2020,Female,CB2 1PH,Other,Low
253,5911481712,Nicola,Knight,01/01/1969,Female,CB2 1PH,Mixed,Medium
254,6637745384,Douglas,Poole,31/01/1993,Male,E5 0BP,White British,Medium
255,6399885969,Jack,Smith,24/10/2010,Male,CB4 2NF,White British,Low
256,2254434846,Judith,Hutchinson,31/10/1954,Other,E5 0BP,White British,High
257,2871492178,Carolyn,Lawrence,06/05/2017,Male,CB1 3DF,White British,Low
258,2554426258,Ben,Mitchell,06/12/1991,Female,CB1 3DF,Black African,Medium
259,9613251829,Roy,Brown,26/08/1974,Female,CB1 3DF,White British,High
260,8493714686,Stephen,Dixon,22/02/1979,Female,B15 2TH,White British,Medium
261,1716369882,Kenneth,Shepherd,19/06/2004,Male,E18 1AB,Black African,Low
262,9717759913,Bernard,Smith,13/07/1937,Male,CB2 1PH,South Asian,High
263,7934784195,Georgia,Robertson,04/10/1933,Male,E18 1AB,East Asian,High
264,5933628548,Keith,Nash,28/12/1974,Female,E17 7JN,Black Caribbean,Medium
265,3585983644,Luke,Smith,29/10/1938,Female,B15 2TH,Black African,High
266,6912353774,Sarah,Barlow,22/12/1940,Female,NR4 7UY,Black Caribbean,High
267,5792996925,Lauren,Doherty,05/12/1962,Male,NR4 7UY,Black African,Medium
268,8113537953,Raymond,Evans,06/03/1964,Female,CB1 3DF,White British,Medium
269,1112814949,James,Mann,14/08/1940,Female,NR4 7UY,White British,High
270,9539894787,Melissa,Buckley,16/02/2011,Female,NR4 7UY,Black African,Low
271,7967941695,Shannon,Williams,25/10/1970,Male,E17 7JN,Other,High
272,6323738356,Jasmine,Mitchell,07/10/1945,Female,E10 7HQ,Black African,High
273,8827853867,Alan,Davies,24/03/2004,Female,B15 2TH,Black African,High
274,1418649598,Patrick,Miller,22/09/1949,Male,N1 1AA,White British,High
275,4853142137,Jay,Phillips,11/06/1995,Male,B15 2TH,South Asian,High
276,7783297382,Paul,Hall,09/10/2002,Female,B15 2TH,Black African,Medium
277,2885429238,Norman,Owen,17/10/2022,Female,NR4 7UY,White British,Medium
278,3817721837,Kevin,Daly,29/08/1997,Female,E17 7JN,South Asian,High
279,9285666842,Tom,Townsend,17/09/2015,Male,E18 1AB,East Asian,Low
280,2231235427,Adrian,Nicholls,02/05/1987,Male,E18 1AB,Black African,Low
281,1675111541,Graham,Wilson,06/11/1938,Male,CB2 1PH,White British,High
282,9819996253,Jonathan,Wheeler,30/01/1985,Female,CB2 1PH,White British,Medium
283,1692794371,Shaun,Johnson,26/05/1995,Male,SE1 6JP,White British,Low
284,5555918417,Rhys,Shaw,25/11/1953,Male,CB4 2NF,Black African,High
285,4765942528,Joe,Wilson,18/12/1951,Female,SE1 6JP,White British,High
286,3928821179,Michelle,Giles,03/09/1994,Male,CB2 0QQ,East Asian,High
287,7551816364,Kimberley,Ferguson,02/07/1966,Male,E18 1AB,Black African,High
288,7994348229,Hilary,Fletcher,03/03/1943,Male,CB2 1PH,White British,High
289,5594881445,Debra,Mitchell,28/02/1994,Male,E1 4DG,Black Caribbean,Medium
290,8729473859,Zoe,Phillips,19/05/2004,Female,CB4 2NF,White British,High
291,8352848859,Julia,Edwards,30/11/2009,Male,CB4 2NF,East Asian,Medium
292,4241723545,Gareth,Smith,16/06/1975,Female,CB2 1PH,White British,Medium
293,6737479592,Dominic,Nash,10/11/1978,Male,N1 1AA,South Asian,Medium
294,8872546588,Michael,Booth,16/07/1979,Female,CB1 3DF,White British,Medium
295,7747461749,Scott,White,27/06/1953,Female,CB1 3DF,White British,High
296,1181897759,Josephine,Walker,02/05/1952,Male,CB2 0QQ,White British,High
297,7483771567,Shane,Richardson,14/01/2016,Female,E17 7JN,Black Caribbean,Low
298,7694373985,Tracey,Norton,21/04/2004,Female,CB4 2NF,Black African,Low
299,5331245424,Charles,Cooper,21/04/1979,Female,E10 7HQ,South Asian,Medium
300,8235423336,Louise,Murray,07/04/1974,Male,E1 5AW,Black African,High
